2019-09-12 23:53:17,"b""RT @americandream09: Do you support America's 2nd Ammendment &amp; U.S\n Constitution? RT plz!\n\n@realDonaldTrump @NRA\n@americandream09\n\nFollow Q\xe2\x80\xa6"""
2019-09-12 23:53:16,b'RT @maryannemarsh: Some news\xe2\x80\xa6I am joining @BBCWorld as a political contributor for the #2020Election appearing regularly on  #Beyond100Days\xe2\x80\xa6'
2019-09-12 23:53:16,b'RT @excitedelectron: Another reason #YangBeatsTrump: Andrew Yang supports #RankedChoiceVoting which allows voters across the political spec\xe2\x80\xa6'
2019-09-12 23:53:15,"b'RT @EpochTimes: \xe2\x80\x9cI\xe2\x80\x99ll be honest. I didn\xe2\x80\x99t say it in there, but I didn\xe2\x80\x99t vote for the president in [2016]. But for a lot of obvious reasons,\xe2\x80\xa6'"
2019-09-12 23:52:51,"b'RT @EpochTimes: \xe2\x80\x9cI\xe2\x80\x99ll be honest. I didn\xe2\x80\x99t say it in there, but I didn\xe2\x80\x99t vote for the president in [2016]. But for a lot of obvious reasons,\xe2\x80\xa6'"
2019-09-12 23:52:49,b'RT @ProgressTX: THREAD: The third #DemDebate is starting soon! \xf0\x9f\xa4\xa0\n\nFollow along as we join with progressives across the state using #DemDeba\xe2\x80\xa6'
2019-09-12 23:52:49,b'RT @pollsofpolitics: What Percent chance do you  give @realDonaldTrump of being Re-elected as #Potus in the #2020Election??\n\nPlease vote an\xe2\x80\xa6'
2019-09-12 23:52:48,b'RT @pollsofpolitics: What Percent chance do you  give @realDonaldTrump of being Re-elected as #Potus in the #2020Election??\n\nPlease vote an\xe2\x80\xa6'
2019-09-12 23:52:16,b'RT @pollsofpolitics: What Percent chance do you  give @realDonaldTrump of being Re-elected as #Potus in the #2020Election??\n\nPlease vote an\xe2\x80\xa6'
2019-09-12 23:52:05,b'2020 Democratic Primary voting intention - New Hampshire\n\nJoe Biden: 22%\nBernie Sanders: 21%\nElizabeth Warren: 15%\xe2\x80\xa6 https://t.co/ehXk5kTqEn'
2019-09-12 23:51:53,b'RT @Electra661: Don\xe2\x80\x99t miss the #Friday @jfradioshow #PoliticalDisruptor segment with guest Michael Bluemling @4USAFreedom at 9:35 AM EST he\xe2\x80\xa6'
2019-09-12 23:51:32,b'RT @IpsosNewsPolls: New #Podcast Alert -  #ThePointBeing.  Listen to Ipsos pollsters @mallorycate &amp; @jcbjackson share new polling on electa\xe2\x80\xa6'
2019-09-12 23:51:12,"b'RT @marynewmanphoto: So far, Beto supporters have the biggest presence outside the debate stage #DemocraticDebate #2020Election https://t.c\xe2\x80\xa6'"
2019-09-12 23:51:00,"b'RT @poeboston: ICYMI: @Amazon will pay $0 in taxes on $11,200,000,000 in profit for 2018 https://t.co/SswTsXUCrQ via @Yahoo &gt; #okpoli #mapo\xe2\x80\xa6'"
