time_stamp,tweet_text,url
2019-09-12 23:59:49,"RT @KyleKulinski: Turned on ABC News and the first thing I hear is ""this debate is not about policy specifics, it's about energy"". These id…",[]
2019-09-12 23:59:48,This is AWESOME! 🤩🤩🤩 #AFTvotes #DemDebate #DemDebate3 #DemocraticDebate #Election2020 https://t.co/zZkdRDfO25,"[{'url': 'https://t.co/zZkdRDfO25', 'expanded_url': 'https://twitter.com/cgauronskas/status/1172296871764606976', 'display_url': 'twitter.com/cgauronskas/st…', 'indices': [86, 109]}]"
2019-09-12 23:59:48,"RT @WordswithSteph: #DemDebateTSU FBR Party!

Let’s connect &amp; support our Dems!
What issues are you most eager to hear debated?

BIDEN 
WAR…",[]
2019-09-12 23:59:48,RT @adamslily: The heroes of the gun violence debate are the families who pour their heart and soul into this fight after experiencing some…,[]
2019-09-12 23:59:47,"RT @PatTheBerner: 🔥#DemocraticDebate 🔥
Nina Turner cuts to the chase. Without a movement, we'll never get the big things done like Medicare…",[]
2019-09-12 23:59:47,"ABC News hosts are saying democrats don't want infighting. This is a fucking primary. ""infighting"" is the entire point! We hash out differences and pick the candidate we like best. All of these hosts are pathetic. #DemocraticDebate",[]
2019-09-12 23:59:47,"RT @realRyanJensen: If a Democrat is elected to the Presidency in 2020, do you think they will solve the illegal immigration problem on our…",[]
2019-09-12 23:59:46,"RT @DaniLourem: #MyYangStory #ISupportYang
I'm bipolar and work makes me want to end my life. I do not qualify for disability because I mak…",[]
2019-09-12 23:59:46,#DemocraticDebate Let's goooooo!,[]
2019-09-12 23:59:46,"RT @StatusCoup: .@BernieSanders Needs to FIGURATIVELY hit ""middle class"" @JoeBiden at tonight's #DemocraticDebate on NAFTA, TPP, Glass-Stea…",[]
2019-09-12 23:59:46,RT @CalebPauls: This is #MyYangStory Been following @scottsantens for a couple of years when I started to understand the jobs we were train…,[]
2019-09-12 23:59:45,RT @JulianCastro: Bringing my understudy to the #DemocraticDebate https://t.co/xrujBWstsp,[]
2019-09-12 23:59:44,I lost my remote control and I might have to watch this debate.   A brother just wanted to watch the 6pm news.   #DemocraticDebate,[]
2019-09-12 23:59:44,"Wow, everything about all of this is just so much cringe. #DemocraticDebate",[]
2019-09-12 23:59:44,"RT @AllOnMedicare: Me: Where can I get a flu shot? 

@AnthemInc: ""Please know that we are still researching this matter. We will be sending…",[]
2019-09-12 23:59:43,"RT @girlsreallyrule: Who's gonna watch the #DemocraticDebate with me tonite? You can watch it live, online here: https://t.co/ToUiKgbhtc","[{'url': 'https://t.co/ToUiKgbhtc', 'expanded_url': 'https://www.youtube.com/watch?v=2UWVO0Trd1c', 'display_url': 'youtube.com/watch?v=2UWVO0…', 'indices': [113, 136]}]"
2019-09-12 23:59:43,Thank god we finally have these people on the same stage for now. #DemocraticDebate,[]
2019-09-12 23:59:43,"One of the @ABCnews commentators just came dangerously close to saying ""money shot"" on live television. 

This does not bode well. #democraticdebate",[]
2019-09-12 23:59:43,"Who is watching the debate tonight with me?

#DemocraticDebate #DemDebate #DemDebate3",[]
2019-09-12 23:59:43,@John_G_Athon Nothing compared to the capital flight related to a 2% wealth tax.  Go long fine art and SEA farmland.  #DemocraticDebate,[]
2019-09-12 23:59:43,"RT @axlgomez89: #MyYangStory on why #ISupportYang I believe in @AndrewYang
#DemDebates #DemocraticDebate #Yang2020 #YangGang #legalizemarij…",[]
2019-09-12 23:59:43,"RT @WordswithSteph: #DemocraticDebate FBR Party!

Let’s connect &amp; support our Dems!
What issues are you most eager to hear debated?

BIDEN…",[]
2019-09-12 23:59:42,"RT @KyleKulinski: Turned on ABC News and the first thing I hear is ""this debate is not about policy specifics, it's about energy"". These id…",[]
2019-09-12 23:59:42,"RT @thor_benson: Friend: What are you up to tonight?

Me: I'm gonna grab a six-pack and watch Elizabeth Warren beat the crap out of Joe Bid…",[]
2019-09-12 23:59:41,"RT @IStandWithIlhan: Who do politically-correct coastal, liberal elites out of touch with regular Americans love the mostest?

#DemocraticD…",[]
2019-09-12 23:59:41,"RT @vdare: It's going to be between 2.5 and 3 hours ☠️

#DemocraticDebate https://t.co/8vQTdB3Jsq","[{'url': 'https://t.co/8vQTdB3Jsq', 'expanded_url': 'https://twitter.com/JimmyJohnson911/status/1172298298104745984', 'display_url': 'twitter.com/JimmyJohnson91…', 'indices': [74, 97]}]"
